Date,HCLTECH.NS,HDFCBANK.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,JINDALSTEL.NS,KOTAKBANK.NS,NESTLEIND.NS,TATASTEEL.NS,TCS.NS
2022-05-16,903.638427734375,627.9719848632812,379.90380859375,2066.369873046875,662.5233154296875,1336.773681640625,210.4630584716797,456.8671569824219,361.2408447265625,779.275634765625,97.12372589111328,3000.4970703125
2022-05-17,936.8145751953125,632.2544555664062,416.295654296875,2092.231201171875,688.7138671875,1363.1212158203125,219.24270629882812,478.114501953125,366.7107238769531,784.2988891601562,104.62254333496094,3066.96142578125
2022-05-18,928.855712890625,632.2063598632812,423.7781066894531,2135.473876953125,686.143310546875,1354.817626953125,220.98207092285156,476.63214111328125,368.00592041015625,785.26953125,103.87882232666016,3064.473388671875
2022-05-19,873.2300415039062,619.2869873046875,405.2177429199219,2110.45068359375,669.6044921875,1281.160888671875,228.312255859375,455.33538818359375,355.3724365234375,773.288818359375,98.76519012451172,2898.4443359375
2022-05-20,890.0560913085938,635.5985107421875,416.97589111328125,2167.672607421875,688.27734375,1306.29638671875,231.9152374267578,473.17327880859375,364.4889221191406,810.1773071289062,103.02947998046875,2926.03515625
2022-05-23,880.9293823242188,627.4428100585938,401.4765625,2217.8583984375,689.732421875,1318.191162109375,227.3597412109375,390.9015808105469,369.50048828125,816.5340576171875,90.0341796875,2951.581787109375
2022-05-24,857.9610595703125,634.6361694335938,389.4754638671875,2152.4814453125,686.9193725585938,1293.5938720703125,224.3365478515625,389.36981201171875,375.13970947265625,825.7975463867188,88.5731430053711,2921.592529296875
2022-05-25,842.9948120117188,639.3757934570312,385.6370849609375,2142.277099609375,691.9634399414062,1266.1690673828125,225.8688507080078,376.819091796875,380.1114501953125,830.44140625,87.93504333496094,2833.61328125
2022-05-26,848.4017333984375,657.6119995117188,396.3262939453125,2125.03564453125,706.6591796875,1278.2880859375,226.28521728515625,389.61688232421875,380.33062744140625,848.158935546875,92.59098815917969,2886.659912109375
2022-05-27,868.471923828125,669.8095092773438,397.5895690917969,2172.006103515625,717.6204833984375,1311.8621826171875,228.4063720703125,391.7910461425781,387.8131103515625,847.6087036132812,91.8428726196289,2917.387939453125
