date,headline,url
2023-12-17,"M - cap of nine of top - 10 most valued firms jumps Rs 2 . 26 lakh - crore ; TCS , Infosys biggest gainers",https://www.tribuneindia.com/news/business/m-cap-of-nine-of-top-10-most-valued-firms-jumps-rs-2-26-lakh-crore-tcs-infosys-biggest-gainers-572813
2023-12-03,"Mcap of nine of top - 10 most valued firms up Rs 1 . 30 lakh crore ; Airtel , TCS biggest gainers",https://timesofindia.indiatimes.com/business/india-business/mcap-of-nine-of-top-10-most-valued-firms-up-rs-1-30-lakh-crore-airtel-tcs-biggest-gainers/articleshow/105696003.cms
2023-12-03,"Mcap of nine of top - 10 most valued firms up Rs 1 . 30 lakh crore ; Airtel , TCS biggest gainers",https://www.financialexpress.com/market/mcap-of-nine-of-top-10-most-valued-firms-up-rs-1-30-lakh-crore-airtel-tcs-biggest-gainers-3326180/
2023-12-03,"market capitalisation | Market capitalisation of nine of top - 10 most valued firms up Rs 1 . 30 lakh crore ; Airtel , Tata Consultancy Services biggest gainers",https://www.telegraphindia.com/business/market-capitalisation-of-nine-of-top-10-most-valued-firms-up-rs-1-30-lakh-crore-airtel-tata-consultancy-services-biggest-gainers/cid/1984234
2023-12-03,"market capitalisation | Market capitalisation of nine of top - 10 most valued firms up Rs 1 . 30 lakh crore ; Airtel , Tata Consultancy Services biggest gainers",https://www.telegraphindia.com/feeds/business/market-capitalisation-of-nine-of-top-10-most-valued-firms-up-rs-1-30-lakh-crore-airtel-tata-consultancy-services-biggest-gainers/cid/1984234
2023-11-19,"Market valuation of top 7 firms surges ₹1 . 50 lakh crore , big gains by TCS & Infosys",https://www.livemint.com/companies/news/market-valuation-of-top-7-firms-surges-rs-1-50-lakh-crore-big-gains-by-tcs-infosys-11700381485708.html
2023-11-01,"jspl and bharti airtel share price : Hot Stocks : Brokerages view on Tata Consumer , GAIL , JSPL and Bharti Airtel",https://economictimes.indiatimes.com/markets/stocks/news/hot-stocks-brokerages-view-on-tata-consumer-gail-jspl-and-bharti-airtel/articleshow/104875129.cms
2023-10-27,Bharti Airtel Founder Sunil Bharti Mittal Announces Key Satellite Communication Breakthrough ; Check How It Will Impact The Country,https://www.india.com/business/bharti-airtel-founder-sunil-bharti-mittal-announces-key-satellite-communication-breakthrough-isro-india-pm-modi-6450673/
2023-12-06,"Stock to buy today : Bharti Airtel ( ₹1 , 030 . 7 ) - The Hindu BusinessLine",https://www.thehindubusinessline.com/portfolio/technical-analysis/pf-todays-pick/stock-to-buy-today-bharti-airtel-10307/article67607408.ece
2023-10-28,"Telecommunications | OneWeb vs JioSpaceFiber : Reliance , Airtel vie for supremacy in satellite communications",https://www.telegraphindia.com/feeds/business/oneweb-vs-jiospacefiber-reliance-airtel-vie-for-supremacy-in-satellite-communications/cid/1975923
2023-10-28,"Telecommunications | OneWeb vs JioSpaceFiber : Reliance , Airtel vie for supremacy in satellite communications",https://www.telegraphindia.com/business/oneweb-vs-jiospacefiber-reliance-airtel-vie-for-supremacy-in-satellite-communications/cid/1975923
2023-12-03,"Mcap of nine of top - 10 most valued firms up Rs 1 . 30 lakh crore ; Airtel , TCS biggest gainers",https://www.moneycontrol.com/news/business/markets/mcap-of-nine-of-top-10-most-valued-firms-up-rs-1-30-lakh-crore-airtel-tcs-biggest-gainers-11846321.html
2023-10-22,"Mcap of top 10 valued firms plunge Rs 1 . 52 lakh crore last week ; Reliance , TCS biggest laggards",https://indianexpress.com/article/business/market/market-cap-top-10-valued-firms-plunge-reliance-tcs-biggest-laggards-8994630/
2023-10-03,"research , Author at MediaNama",https://www.medianama.com/author/research/
2023-12-07,"Closing Bell : Markets End Day In Red ; Sensex At 69 , 521 . 69 , Nifty Below 20 , 950",https://www.freepressjournal.in/business/closing-bell-markets-end-day-in-red-sensex-at-6952169-nifty-below-20950
2023-10-20,"Bharti Airtel extends 5G coverage to all 22 districts of J & K , Telecom News , ET Telecom",https://telecom.economictimes.indiatimes.com/news/industry/bharti-airtel-extends-5g-coverage-to-all-22-districts-of-jk/104583094
2023-12-24,"Market capitalisation of 3 of 10 most valued firms jump ₹70 , 312 . 7 crore ; RIL , HDFC Bank and HUL top gainers",https://www.livemint.com/market/stock-market-news/market-capitalisation-of-3-of-10-most-valued-firms-jump-rs-70-312-7-crore-ril-hdfc-bank-and-hul-top-gainers-11703394092036.html
2023-12-07,active stocks : Share market update : Most active stocks of the day in terms of traded value,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/105812853.cms
